 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 144-673-798
127.0.0.1 - - [16/Mar/2026 11:32:58] "HEAD /api/health HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:34:50] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:34:50] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:34:50] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:34:50] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:35:20] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:35:20] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:35:20] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:35:20] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:35:44] "[35m[1mPOST /api/users/ HTTP/1.1[0m" 201 -
127.0.0.1 - - [16/Mar/2026 11:35:44] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:41:07] "POST /api/auth/logout HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:42:47] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:42:47] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:42:47] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:47] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:47] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:47] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:47] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:59] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:59] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:59] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:59] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:59] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:43:59] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:44:35] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:44:35] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:44:35] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:44:35] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:46:04] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:46:04] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:46:04] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:46:04] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:46:04] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:46:04] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:19] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:19] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:19] "GET /api/duties/ HTTP/1.1" 200 -
